PersonID,Town,PartyID,Party,District,Name
14580,Calais,D,Democrat,Washington-6,Janet Ancel
30969,Barre City,D,Democrat,Washington-3,Peter Anthony
30952,Colchester,D,Democrat,Chittenden-9-2,Sarah 'Sarita' Austin
23994,Westford,R,Republican,Chittenden-8-3,Robert Bancroft
15769,Hartland,D,Democrat,Windsor-1,John L. Bartholomew
15770,Derby,R,Republican,Orleans-1,Lynn Batchelor
30942,Bennington,D,Democrat,Bennington-2-1,Christopher Bates
23996,St. Johnsbury,R,Republican,Caledonia-3,Scott Beck
30938,Vergennes,D,Democrat,Addison-3,Matthew Birong
27182,Chester,D,Democrat,Windsor-3-1,Thomas Bock
14549,Colchester,R,Republican,Chittenden-9-2,Patrick Brennan
23998,Thetford,D,Democrat,Windsor-Orange-2,Timothy Briglin
30941,Pownal,D,Democrat,Bennington-1,Nelson Brownell
14585,Arlington,D,Democrat,Bennington-4,Cynthia Browning
27160,Shelburne,D,Democrat,Chittenden-5-2,Jessica Brumsted
15771,West Rutland,R,Republican,Rutland-2,Thomas Burditt
14690,Brattleboro,P,Progressive,Windham-2-2,Mollie S. Burke
30946,St. Johnsbury,D,Democrat,Caledonia-3,R. Scott Campbell
14569,Fair Haven,R,Republican,Rutland-3,William Canfield
30943,Bennington,D,Democrat,Bennington-2-2,James Carroll
30951,Colchester,D,Democrat,Chittenden-9-1,Seth Chase
23999,Middletown Springs,P,Progressive,Rutland-Bennington,Robin Chesnut-Tangerman
27181,Weathersfield,D,Democrat,Windsor-2,Annmarie Christensen
15774,Hartford,D,Democrat,Windsor-4-2,Kevin 'Coach' Christie
27162,Burlington,P,Progressive,Chittenden-6-4,Brian Cina
30971,Guilford,D,Democrat,Windham-1,Sara Coffey
27163,Burlington,P,Progressive,Chittenden-6-4,Selene Colburn
31249,Winooski,D,Democrat,Chittenden-6-7,Harold 'Hal' Colston
27155,Cornwall,D,Democrat,Addison-2,Peter Conlon
14695,Newbury,D,Democrat,Orange-Caledonia,Charles Conquest
14567,Bradford,D,Democrat,Orange-2,Sarah Copeland-Hanzas
14546,Bennington,D,Democrat,Bennington-2-1,Timothy R. Corcoran
30939,Lincoln,D,Democrat,Addison-4,Mari Cordes
20387,Rutland City,R,Republican,Rutland-5-2,Lawrence Cupoli
30963,Corinth,D,Democrat,Orange-1,Carl Demrow
14677,St. Albans Town,R,Republican,Franklin-3-2,Eileen Dickinson
30970,Waitsfield,D,Democrat,Washington-7,Katherine 'Kari' Dolan
14557,Northfield,R,Republican,Washington-1,Anne B. Donahue
14534,Burlington,D,Democrat,Chittenden-6-5,Johannah Donovan
30944,Shaftsbury,D,Democrat,Bennington-3,David Durfee
30940,Starksboro,D,Democrat,Addison-4,Caleb Elder
14512,Springfield,D,Democrat,Windsor-3-2,Alice M. Emmons
14686,Rutland City,R,Republican,Rutland-5-1,Peter J. Fagan
30957,Berkshire,D,Democrat,Franklin-5,Charen Fegard
20375,Lyndon,R,Republican,Caledonia-4,Martha Feltus
24006,Swanton,R,Republican,Franklin-4,Marianna Gamache
27179,Wilmington,D,Democrat,Windham-6,John Gannon
27158,Richmond,D,Democrat,Chittenden-1,Marcia Gardner
27165,Essex,D,Democrat,Chittenden-8-2,Dylan Giambatista
24007,Winooski,P,Progressive,Chittenden-6-7,Diana Gonzalez
30968,Northfield,R,Republican,Washington-1,Kenneth Goslant
14536,Moretown,D,Democrat,Washington-7,Maxine Grad
24008,Williamstown,R,Republican,Orange-1,Rodney Graham
30958,Fairfield,R,Republican,Franklin-6,James Gregoire
14573,Rochester,P,Progressive,Windsor-Rutland,Sandy Haas
31854,Berkshire,R,Republican,Franklin-5,Lisa Hango
28878,Chittenden,R,Republican,Rutland-Windsor-1,James Harrison
30973,Dummerston,D,Democrat,Windham-4,Nader Hashim
14515,Fair Haven,R,Republican,Rutland-3,Robert Helm
14681,Lowell,R,Republican,Orleans-Lamoille,Mark Higley
27170,Wolcott,D,Democrat,Lamoille-2,Matthew Hill
14688,Montpelier,D,Democrat,Washington-4,Mary S. Hooper
27174,Randolph,D,Democrat,Orange-Washington-Addison,Philip Jay Hooper
30948,Burlington,D,Democrat,Chittenden-6-1,Robert Hooper
27166,Essex,D,Democrat,Chittenden-8-2,Lori Houghton
27177,Rutland City,D,Democrat,Rutland-5-3,Mary E. Howard
30945,Manchester,D,Democrat,Bennington-4,Kathleen James
30966,Brandon,D,Democrat,Rutland-6,Stephanie Jerome
27178,Middlesex,D,Democrat,Washington-5,Kimberly Jessup
14552,South Hero,D,Democrat,Grand Isle-Chittenden,Mitzi Johnson
30949,South Burlington,D,Democrat,Chittenden-7-3,John Killacky
27184,Woodstock,D,Democrat,Windsor-5,Charles Kimbell
14540,Montpelier,D,Democrat,Washington-4,Warren F. Kitzmiller
30972,Brattleboro,D,Democrat,Windham-2-1,Emilie Kornheiser
19342,Burlington,D,Democrat,Chittenden-6-3,Jill Krowinski
24009,Barre Town,R,Republican,Washington-2,Robert LaClair
24010,South Burlington,D,Democrat,Chittenden-7-1,Martin LaLonde
14667,Vergennes,D,Democrat,Addison-3,Diane Lanpher
24011,Newark,R,Republican,Essex-Caledonia-Orleans,Paul Lefebvre
30959,Enosburgh,R,Republican,Franklin-7,Felisha Leffler
14522,Hinesburg,D,Democrat,Chittenden-4-2,William J. Lippert
24012,Newfane,D,Democrat,Windham-5,Emily Long
14670,Williston,D,Democrat,Chittenden-2,Terence Macaig
14568,Coventry,R,Republican,Orleans-2,Michael Marcotte
24014,Waterford,R,Republican,Caledonia-1,Marcia Martel
14523,Thetford,D,Democrat,Windsor-Orange-2,James Masland
29153,Milton,R,Republican,Chittenden-10,Christopher Mattos
30954,St. Albans City,D,Democrat,Franklin-3-1,Michael McCarthy
20376,Burlington,D,Democrat,Chittenden-6-3,Curt McCormack
24015,Poultney,R,Republican,Rutland-1,Patricia McCoy
14547,Williston,D,Democrat,Chittenden-2,James McCullough
14579,Barre Town,R,Republican,Washington-2,Francis McFaun
30960,Milton,R,Republican,Grand Isle-Chittenden,Leland Morgan
33012,Springfield,D,Democrat,Windsor-3-2,Kristi Morris
14525,Bennington,R,Republican,Bennington-2-2,Mary A. Morrissey
14598,Putney,D,Democrat,Windham-4,Michael Mrowicki
24017,Fairfax,I,Independent,Franklin-2,Barbara Murphy
14541,Essex,R,Republican,Chittenden-8-1,Linda K. Myers
30967,Ludlow,D,Democrat,Rutland-Windsor-2,Logan Nicoll
28072,Shoreham,I,Independent,Addison-Rutland,Terry Norris
30965,Rutland City,D,Democrat,Rutland-5-4,William Notte
27171,Wolcott,D,Democrat,Lamoille-2,Daniel Noyes
30977,Tunbridge,D,Democrat,Windsor-Orange-1,John O'Brien
18342,Burlington,D,Democrat,Chittenden-6-2,Jean O'Sullivan
27161,Burlington,D,Democrat,Chittenden-6-1,Carol Ode
30964,Newport City,R,Republican,Orleans-2,Woodman Page
29214,Londonderry,I,Independent,Windham-Bennington-Windsor,Kelly Pajala
30953,Milton,R,Republican,Chittenden-10,John Palasik
14527,Windham,D,Democrat,Windham-3,Carolyn W. Partridge
30962,Worcester,D,Democrat,Lamoille-Washington,Avram Patt
14577,Clarendon,D,Democrat,Rutland-2,David Potter
14530,South Burlington,D,Democrat,Chittenden-7-2,Ann Pugh
20380,Concord,R,Republican,Essex-Caledonia,Constance Quimby
20377,Burlington,D,Democrat,Chittenden-6-6,Barbara Rachelson
30974,Hartland,P,Progressive,Windsor-1,Zachariah Ralph
30950,Essex,D,Democrat,Chittenden-8-1,Marybeth Redmond
30961,Waterville,D,Democrat,Lamoille-3,Lucy Rogers
27168,Georgia,R,Republican,Franklin-1,Carl Rosenquist
14679,Swanton,R,Republican,Franklin-4,Brian K. Savage
27154,Middlebury,D,Democrat,Addison-1,Robin Scheu
14592,Stowe,R,Republican,Lamoille-1,Heidi E. Scheuermann
30947,Sutton,R,Republican,Caledonia-4,Patrick Seymour
15553,Pittsford,R,Republican,Rutland-6,Charles 'Butch' Shaw
24022,Middlebury,D,Democrat,Addison-1,Amy Sheldon
24023,Dover,I,Independent,Windham-Bennington,Laura Sibilia
27176,Derby,R,Republican,Orleans-1,Brian Smith
15785,New Haven,R,Republican,Addison-5,Harvey Smith
27159,Underhill,D,Democrat,Chittenden-3,Trevor Squirrell
14689,Waterbury,D,Democrat,Washington-Chittenden,Thomas Stevens
15786,Albany,R,Republican,Orleans-Caledonia,Vicki Strong
27157,Dorset,D,Democrat,Bennington-Rutland,Linda Joy Sullivan
24024,Burlington,D,Democrat,Chittenden-6-5,Mary Sullivan
30975,Barnard,D,Democrat,Windsor-4-1,Randall Szott
27167,Colchester,D,Democrat,Chittenden-9-1,Curt Taylor
20386,Rutland Town,R,Republican,Rutland-4,Thomas Terenzini
14676,Jericho,D,Democrat,Chittenden-3,George W. Till
20391,Brattleboro,D,Democrat,Windham-2-3,Tristan Toleno
14693,Danville,D,Democrat,Caledonia-Washington,Catherine Toll
30955,St. Albans Town,R,Republican,Franklin-3-1,Casey Toof
20379,South Burlington,D,Democrat,Chittenden-7-4,Maida Townsend
16361,Rockingham,D,Democrat,Windham-3,Matthew Trieber
24026,Stannard,D,Democrat,Caledonia-2,Joseph 'Chip' Troiano
23826,Barre City,D,Democrat,Washington-3,Tommy Walz
14675,Shelburne,D,Democrat,Chittenden-5-1,Kathryn Webb
30976,Hartford,D,Democrat,Windsor-4-2,Rebecca White
